rank,school,grades,students,student/teacher ratio,free lunch recipients,average standard score,rank (2014),rank change from 2014,type,address,city,zip,county,district,charter,magnet,virtual,title i,phone,fulltime teachers,white,black,hispanic,asian,american indian,pacific islander,two or more races
84,Middletown High School South,9-12,"1,425",12.8,6.60%,60.9,116,32,Public,900 Nut Swamp Road,Middletown,7748,Monmouth,Middletown Township Public School District,No,(n/a),No,No,(732) 706-6111,111,"1,297 (91.0 %)",23 (1.6 %),65 (4.6 %),32 (2.2 %),2 (0.1 %),1 (0.1 %),5 (0.4 %)
85,Indian Hills High School,9-12,"1,226",10.9,2.30%,60.9,73,-12,Public,97 Yawpo Ave,Oakland,7436,Bergen,Ramapo Indian Hills Regional High School District,No,(n/a),No,Yes,(201) 337-0100,112,"1,095 (89.3 %)",11 (0.9 %),62 (5.1 %),38 (3.1 %),1 (0.1 %),1 (0.1 %),18 (1.5 %)
86,Holmdel High School,9-12,950,10.9,4.10%,60.7,74,-12,Public,36 Crawfords Corner Road,Holmdel,7733,Monmouth,Holmdel Township School District,No,(n/a),No,Yes,(732) 946-1832,87,695 (73.2 %),7 (0.7 %),40 (4.2 %),165 (17.4 %),0 (0.0 %),0 (0.0 %),43 (4.5 %)
87,Northern Valley Regional High School At Demarest,9-12,"1,218",12.9,1.50%,60.6,38,-49,Public,150 Knickerbocker Rd,Demarest,7627,Bergen,Northern Valley Regional High School District,No,(n/a),No,Yes,(201) 768-3200,94,761 (62.5 %),5 (0.4 %),90 (7.4 %),326 (26.8 %),1 (0.1 %),3 (0.2 %),32 (2.6 %)
88,Madison High School,9-12,837,12.6,6.20%,60.4,71,-17,Public,170 Ridgedale Avenue,Madison,7940,Morris,Madison Public School District,No,(n/a),No,Yes,(973) 593-3117,66,678 (81.0 %),20 (2.4 %),81 (9.7 %),47 (5.6 %),2 (0.2 %),0 (0.0 %),9 (1.1 %)
89,Fair Lawn High School,9-12,"1,465",12.9,12.80%,59.8,108,19,Public,14 00 Berdan Avenue,Fair Lawn,7410,Bergen,Fair Lawn Public School District,No,(n/a),No,No,(201) 794-5455,113,"1,006 (68.7 %)",43 (2.9 %),239 (16.3 %),168 (11.5 %),1 (0.1 %),4 (0.3 %),4 (0.3 %)
90,Robbinsville High School,9-12,918,14.1,4.60%,59.7,105,15,Public,155 Robbinsville Edinburg Rd,Robbinsville,8691,Mercer,Robbinsville Public Schools,No,(n/a),No,No,(609) 632-0950,65,696 (75.8 %),42 (4.6 %),31 (3.4 %),145 (15.8 %),0 (0.0 %),0 (0.0 %),4 (0.4 %)
91,Bayonne High School,9-12,"2,581",12.8,67.00%,59.6,249,158,Public,669 Avenue A,Bayonne,7002,Hudson,Bayonne School District,No,(n/a),No,Yes,(201) 858-5900,201,"1,112 (43.1 %)",300 (11.6 %),935 (36.2 %),192 (7.4 %),4 (0.2 %),3 (0.1 %),35 (1.4 %)
92,Bergenfield High School,9-12,"1,207",12.4,33.80%,59.5,92,0,Public,80 S Prospect Ave,Bergenfield,7621,Bergen,Bergenfield Borough School District,No,(n/a),No,Yes,(201) 385-8600,97,179 (14.8 %),112 (9.3 %),521 (43.2 %),373 (30.9 %),3 (0.2 %),9 (0.7 %),10 (0.8 %)
93,Highland Park High School,9-12,474,13.1,33.30%,59.4,230,137,Public,102 North Fifth Avenue,Highland Park,8904,Middlesex,Highland Park Boro School District,No,(n/a),No,Yes,(732) 572-2400,36,197 (41.6 %),52 (11.0 %),107 (22.6 %),99 (20.9 %),0 (0.0 %),0 (0.0 %),19 (4.0 %)
94,Secaucus High School,9-12,540,10.5,31.10%,59.4,183,89,Public,11 Mill Ridge Road,Secaucus,7094,Hudson,Secaucus Board Of Education,No,(n/a),No,Yes,(201) 974-2033,51,242 (44.8 %),18 (3.3 %),153 (28.3 %),124 (23.0 %),0 (0.0 %),2 (0.4 %),1 (0.2 %)
95,Governor Livingston High School,9-12,"1,045",11.6,1.80%,59.3,55,-40,Public,175 Watchung Boulevard,Berkeley Heights,7922,Union,Berkeley Heights School District,No,(n/a),No,No,(908) 464-3100,90,878 (84.0 %),13 (1.2 %),62 (5.9 %),91 (8.7 %),0 (0.0 %),0 (0.0 %),1 (0.1 %)
96,Pascack Valley High School,9-12,"1,185",12.6,3.60%,59,100,4,Public,200 Piermont Ave,Hillsdale,7642,Bergen,Pascack Valley Regional High School District,No,(n/a),No,Yes,(201) 358-7060,94,"1,011 (85.3 %)",13 (1.1 %),73 (6.2 %),83 (7.0 %),0 (0.0 %),0 (0.0 %),5 (0.4 %)
97,Northern Valley Regional High School At Old Tappan,9-12,"1,287",12.4,0.90%,59,54,-43,Public,Central Ave,Old Tappan,7675,Bergen,Northern Valley Regional High School District,No,(n/a),No,No,(201) 784-1600,103,893 (69.4 %),9 (0.7 %),57 (4.4 %),297 (23.1 %),3 (0.2 %),1 (0.1 %),27 (2.1 %)
98,Vernon Township High School,9-12,"1,081",11.1,14.70%,58.2,133,35,Public,1832 Route 565,Vernon,7462,Sussex,Vernon Township School District,No,(n/a),No,No,(973) 764-2960,97,972 (89.9 %),26 (2.4 %),75 (6.9 %),4 (0.4 %),0 (0.0 %),0 (0.0 %),4 (0.4 %)
99,Somerset County Vocational Technical High School,9-12,329,5.8,22.50%,58.1,165,66,Public,14 Vogt Drive,Bridgewater,8807,Somerset,Somerset County Vocational And Technical Schools,No,(n/a),No,Yes,(908) 526-8900,56,172 (52.3 %),27 (8.2 %),63 (19.1 %),61 (18.5 %),0 (0.0 %),1 (0.3 %),5 (1.5 %)
100,Freehold Borough High School,9-12,"1,505",13.8,19.80%,57.9,68,-32,Public,2 Robertsville Road,Freehold,7728,Monmouth,Freehold Regional High School District,No,(n/a),No,Yes,(732) 431-8360,109,897 (59.6 %),126 (8.4 %),319 (21.2 %),157 (10.4 %),2 (0.1 %),1 (0.1 %),3 (0.2 %)
101,Emerson Junior Senior High,7-12,572,11.4,8.00%,57.6,204,103,Public,131 Main Street,Emerson,7630,,Emerson Public School District,No,(n/a),No,Yes,(201) 262-4447,50,465 (81.3 %),6 (1.0 %),46 (8.0 %),47 (8.2 %),0 (0.0 %),0 (0.0 %),8 (1.4 %)
102,Morris Hills High School,9-12,"1,202",11.1,23.30%,56.9,132,30,Public,520 West Main Street,Rockaway,7866,,Morris Hills Regional School District,No,(n/a),No,Yes,(973) 664-2301,108,653 (54.3 %),39 (3.2 %),352 (29.3 %),141 (11.7 %),0 (0.0 %),0 (0.0 %),17 (1.4 %)
103,Haddonfield Memorial High School,9-12,776,11.4,2.10%,56.7,31,-72,Public,401 Kings Highway East,Haddonfield,8033,,Haddonfield School District,No,(n/a),No,No,(856) 429-3960,68,701 (90.3 %),10 (1.3 %),18 (2.3 %),38 (4.9 %),0 (0.0 %),0 (0.0 %),9 (1.2 %)
104,Red Bank Regional High School,9-12,"1,233",11.1,23.20%,56.2,137,33,Public,101 Ridge Road,Little Silver,7739,,Red Bank Regional School District,No,(n/a),No,Yes,(732) 842-8000,111,782 (63.4 %),102 (8.3 %),291 (23.6 %),28 (2.3 %),0 (0.0 %),1 (0.1 %),29 (2.4 %)
105,Verona High School,9-12,620,12.9,1.80%,56,84,-21,Public,151 Fairview Ave,Verona,7044,,Verona Public School District,No,(n/a),No,No,(973) 571-6750,48,526 (84.8 %),17 (2.7 %),44 (7.1 %),28 (4.5 %),0 (0.0 %),3 (0.5 %),2 (0.3 %)
106,Manalapan High School,9-12,"1,950",15,7.60%,55.8,115,9,Public,20 Church Lane,Englishtown,7726,,Freehold Regional High School District,No,(n/a),No,No,(732) 792-7200,130,"1,641 (84.2 %)",56 (2.9 %),107 (5.5 %),135 (6.9 %),0 (0.0 %),4 (0.2 %),7 (0.4 %)
107,Morris Knolls High School,9-12,"1,583",11,9.40%,55.8,139,32,Public,50 Knoll Drive,Denville,7834,,Morris Hills Regional School District,No,(n/a),No,No,(973) 664-2201,143,"1,288 (81.4 %)",59 (3.7 %),127 (8.0 %),95 (6.0 %),0 (0.0 %),1 (0.1 %),13 (0.8 %)
108,Henry Hudson Regional School,7-12,312,8.4,23.40%,55.8,193,85,Public,1 Grand Tour,Highlands,7732,,Henry Hudson Regional School District,No,(n/a),No,Yes,(732) 872-0900,37,266 (85.3 %),10 (3.2 %),22 (7.1 %),11 (3.5 %),0 (0.0 %),0 (0.0 %),3 (1.0 %)
109,Bridgewater-Raritan High School,9-12,"2,882",12.4,8.00%,55.7,75,-34,Public,600 Garretson Road,Bridgewater,8807,,Bridgewater-Raritan Regional School District,No,(n/a),No,No,(908) 231-8660,232,"1,900 (65.9 %)",94 (3.3 %),249 (8.6 %),600 (20.8 %),2 (0.1 %),25 (0.9 %),12 (0.4 %)
110,Montville Township High School,9-12,"1,245",10.1,3.60%,54.9,96,-14,Public,100 Horseneck Road,Montville,7045,,Montville Township School District,No,(n/a),No,No,(973) 331-7100,123,905 (72.7 %),19 (1.5 %),48 (3.9 %),265 (21.3 %),3 (0.2 %),4 (0.3 %),1 (0.1 %)
111,Allentown High School,9-12,"1,283",13.5,10.20%,54.6,142,31,Public,27 High Street,Allentown,8501,,Upper Freehold Regional School District,No,(n/a),No,Yes,(609) 259-7292,95,"1,070 (83.4 %)",74 (5.8 %),62 (4.8 %),49 (3.8 %),2 (0.2 %),0 (0.0 %),26 (2.0 %)
112,Bloomfield Technical,9-12,514,12.2,77.60%,54.4,76,-36,Public,209 Franklin Street,Bloomfield,7003,,Essex County Vocational Technical School District,No,(n/a),No,Yes,(973) 412-2206,42,5 (1.0 %),228 (44.4 %),271 (52.7 %),2 (0.4 %),4 (0.8 %),2 (0.4 %),2 (0.4 %)
113,South River High School,9-12,603,12,39.50%,53.9,247,134,Public,11 Montgomery Street,South River,8882,,South River Public School District,No,(n/a),No,Yes,(732) 613-4014,50,338 (56.1 %),49 (8.1 %),185 (30.7 %),19 (3.2 %),0 (0.0 %),0 (0.0 %),12 (2.0 %)
114,Lyndhurst High School,9-12,723,11.4,22.50%,53.8,239,125,Public,400 Weart Avenue,Lyndhurst,7071,,Lyndhurst School District,No,(n/a),No,No,(201) 896-2100,63,452 (62.5 %),18 (2.5 %),222 (30.7 %),23 (3.2 %),0 (0.0 %),2 (0.3 %),6 (0.8 %)
115,Union City High School,9-12,"2,629",15.1,94.00%,53.8,326,211,Public,2500 Kennedy Blvd,Union City,7087,,Union City School District,No,(n/a),No,Yes,(201) 330-8678,174,33 (1.3 %),26 (1.0 %),"2,540 (96.6 %)",29 (1.1 %),0 (0.0 %),1 (0.0 %),0 (0.0 %)
116,Metuchen High School,9-12,643,12.1,7.60%,53.7,158,42,Public,400 Grove Ave,Metuchen,8840,,Metuchen Public School District,No,(n/a),No,Yes,(732) 321-8744,53,435 (67.7 %),38 (5.9 %),70 (10.9 %),98 (15.2 %),0 (0.0 %),0 (0.0 %),2 (0.3 %)
117,Cherokee High School,9-12,"2,205",12.1,11.90%,53.7,110,-7,Public,120 Tomlinson Mill Road,Marlton,8053,,Lenape Regional High School District,No,(n/a),No,Yes,(856) 983-5140,181,"1,828 (82.9 %)",146 (6.6 %),73 (3.3 %),151 (6.8 %),2 (0.1 %),4 (0.2 %),1 (0.0 %)
118,Great Oaks Legacy Charter School,"PK, KG-12",349,19.3,80.80%,53.5,,,"Public, Charter, Alternative",24 Maiden Lane,Newark,7102,,Great Oaks Legacy Charter School,Yes,(n/a),No,Yes,(973) 565-9170,18,1 (0.3 %),282 (80.8 %),61 (17.5 %),2 (0.6 %),1 (0.3 %),0 (0.0 %),2 (0.6 %)
119,Midland Park Junior/Senior High School,7-12,483,10.9,8.10%,53.1,143,24,Public,250 Prospect St,Midland Park,7432,,Midland Park School District,No,(n/a),No,Yes,(201) 444-7400,44,403 (83.4 %),4 (0.8 %),45 (9.3 %),29 (6.0 %),0 (0.0 %),1 (0.2 %),1 (0.2 %)
120,Edison High School,9-12,"1,908",12,34.80%,53,171,51,Public,50 Boulevard Of The Eagles,Edison,8817,,Edison Township School District,No,(n/a),No,Yes,(732) 650-5200,158,623 (32.7 %),266 (13.9 %),341 (17.9 %),662 (34.7 %),3 (0.2 %),8 (0.4 %),5 (0.3 %)
121,East Brunswick High School,10-12,"2,188",13.2,14.50%,53,128,7,Public,380 Cranbury Road,E Brunswick,8816,,East Brunswick Township School District,No,(n/a),No,No,(732) 613-6904,165,"1,240 (56.7 %)",100 (4.6 %),135 (6.2 %),702 (32.1 %),0 (0.0 %),1 (0.0 %),10 (0.5 %)
122,Cinnaminson High School,9-12,763,12.1,14.20%,52.8,95,-27,Public,1197 Riverton Road,Cinnaminson,8077,,Cinnaminson Township Public Schools,No,(n/a),No,Yes,(856) 829-7770,63,617 (80.9 %),67 (8.8 %),36 (4.7 %),27 (3.5 %),2 (0.3 %),0 (0.0 %),14 (1.8 %)
123,High Point Regional High School,9-12,"1,002",10.6,14.00%,52.7,184,61,Public,299 Pidgeon Hill Road,Sussex,7461,,High Point Regional High School District,No,(n/a),No,Yes,(973) 875-3101,94,910 (90.8 %),17 (1.7 %),60 (6.0 %),14 (1.4 %),0 (0.0 %),1 (0.1 %),0 (0.0 %)
124,Wallkill Valley Regional High School,9-12,655,11.2,17.90%,52.6,239,115,Public,10 Grumm Road,Hamburg,7419,,Wallkill Valley Regional High School District,No,(n/a),No,Yes,(973) 827-4100,58,581 (88.7 %),21 (3.2 %),37 (5.6 %),8 (1.2 %),2 (0.3 %),0 (0.0 %),6 (0.9 %)
125,Toms River High School East,9-12,"1,490",12.4,22.60%,52.5,170,45,Public,1225 Raider Way,Toms River,8753,,Toms River Regional School District,No,(n/a),No,No,(732) 505-5665,120,"1,290 (86.6 %)",36 (2.4 %),115 (7.7 %),40 (2.7 %),0 (0.0 %),0 (0.0 %),9 (0.6 %)
126,Delaware Valley Regional High School,9-12,899,13,8.70%,52.5,117,-9,Public,19 Senator Stout Rd,Frenchtown,8825,,Delaware Valley Regional High School District,No,(n/a),No,Yes,(908) 996-2131,69,834 (92.8 %),13 (1.4 %),34 (3.8 %),14 (1.6 %),0 (0.0 %),0 (0.0 %),4 (0.4 %)
127,Old Bridge High School,9-12,"2,949",13.3,26.10%,52.1,199,72,Public,4209 Route 516,Matawan,7747,,Old Bridge Township School District,No,(n/a),No,No,(732) 290-3900,221,"1,830 (62.1 %)",267 (9.1 %),353 (12.0 %),488 (16.5 %),2 (0.1 %),0 (0.0 %),9 (0.3 %)
128,Wayne Hills High School,9-12,"1,379",12.2,8.50%,52.1,85,-43,Public,272 Berdan Avenue,Wayne,7470,,Wayne Township Public School District,No,(n/a),No,No,(973) 317-2000,113,"1,138 (82.5 %)",22 (1.6 %),91 (6.6 %),121 (8.8 %),0 (0.0 %),5 (0.4 %),2 (0.1 %)
129,Clearview Regional High School,9-12,"1,632",14.9,12.40%,51.9,112,-17,Public,625 Breakneck Rd,Mullica Hill,8062,,Clearview Regional High School District,No,(n/a),No,Yes,(856) 223-2790,109,"1,416 (86.8 %)",84 (5.1 %),56 (3.4 %),57 (3.5 %),1 (0.1 %),0 (0.0 %),18 (1.1 %)
130,Marlboro High School,9-12,"1,986",14.8,4.30%,51.3,56,-74,Public,95 North Main Street,Marlboro,7746,,Freehold Regional High School District,No,(n/a),No,No,(732) 617-8393,134,"1,497 (75.4 %)",38 (1.9 %),78 (3.9 %),352 (17.7 %),3 (0.2 %),2 (0.1 %),16 (0.8 %)
131,Eastern Regional High School,9-12,"2,014",13.9,10.80%,51.3,127,-4,Public,1401 Laurel Oak Road,Voorhees,8043,,Eastern Camden County Regional School District,No,(n/a),No,Yes,(856) 784-4441,144,"1,335 (66.3 %)",178 (8.8 %),140 (7.0 %),273 (13.6 %),4 (0.2 %),2 (0.1 %),82 (4.1 %)
132,University High School,7-12,557,12.6,77.70%,50.7,182,50,Public,55 Clinton Pl,Newark,7108,,Newark Public School District,No,(n/a),No,Yes,(973) 374-3190,44,8 (1.4 %),448 (80.4 %),98 (17.6 %),3 (0.5 %),0 (0.0 %),0 (0.0 %),0 (0.0 %)
133,Hammonton High School,9-12,"1,384",13.7,32.30%,50.7,219,86,Public,566 Old Forks Road,Hammonton,8037,,Hammonton School District,No,(n/a),No,Yes,(609) 567-7000,101,"1,013 (73.2 %)",79 (5.7 %),255 (18.4 %),14 (1.0 %),0 (0.0 %),0 (0.0 %),23 (1.7 %)
134,Hopewell Valley Central High School,9-12,"1,249",12,2.60%,50.5,46,-88,Public,259 Pennington Titusville Rd,Pennington,8534,,Hopewell Valley Regional School District,No,(n/a),No,No,(609) 737-4003,104,"1,022 (81.8 %)",48 (3.8 %),45 (3.6 %),127 (10.2 %),1 (0.1 %),0 (0.0 %),6 (0.5 %)
135,Hillsborough High School,9-12,"2,290",11.8,7.40%,50.4,70,-65,Public,466 Raider Boulevard,Hillsborough,8844,,Hillsborough Township Public School District,No,(n/a),No,No,(908) 431-6600,193,"1,624 (70.9 %)",126 (5.5 %),147 (6.4 %),388 (16.9 %),0 (0.0 %),5 (0.2 %),0 (0.0 %)
136,Seneca High School,9-12,"1,199",10.8,12.90%,50.4,93,-43,Public,110 Carranza Road,Tabernacle,8088,,Lenape Regional High School District,No,(n/a),No,Yes,(609) 268-4600,111,"1,097 (91.5 %)",30 (2.5 %),42 (3.5 %),25 (2.1 %),3 (0.3 %),2 (0.2 %),0 (0.0 %)
137,Lenape High School,9-12,"1,840",12.1,15.40%,50.1,121,-16,Public,235 Hartford Road,Medford,8055,,Lenape Regional High School District,No,(n/a),No,Yes,(609) 654-5111,151,"1,242 (67.5 %)",322 (17.5 %),90 (4.9 %),166 (9.0 %),16 (0.9 %),4 (0.2 %),0 (0.0 %)
138,Haddon Township High School,9-12,651,12.7,15.40%,50.1,221,83,Public,406 Memorial Avenue,Westmont,8108,,Haddon Township School District,No,(n/a),No,No,(856) 869-7750,51,562 (86.3 %),12 (1.8 %),36 (5.5 %),18 (2.8 %),3 (0.5 %),3 (0.5 %),17 (2.6 %)
139,Kinnelon High School,9-12,684,11.4,3.40%,50,62,-77,Public,121 Kinnelon Road,Kinnelon,7405,,Kinnelon School District,No,(n/a),No,No,(973) 838-5500,60,613 (89.6 %),9 (1.3 %),26 (3.8 %),28 (4.1 %),1 (0.1 %),4 (0.6 %),3 (0.4 %)
140,Cresskill High School,9-12,541,9.6,2.60%,50,43,-97,Public,1 Lincoln Dr,Cresskill,7626,,Cresskill Public School District,No,(n/a),No,No,(201) 227-7791,56,329 (60.8 %),2 (0.4 %),46 (8.5 %),160 (29.6 %),1 (0.2 %),0 (0.0 %),3 (0.6 %)
141,Academy of Law & Public Safety,11-12,80,13.3,31.30%,50,,,Public,255 West End Avenue,Long Branch,7740,,Monmouth County Vocational School District,No,(n/a),No,No,(732) 229-2446,6,60 (75.0 %),5 (6.3 %),12 (15.0 %),1 (1.3 %),1 (1.3 %),1 (1.3 %),0 (0.0 %)
142,Jonathan Dayton High School,9-12,630,13.1,12.70%,49.9,169,27,Public,139 Mountain Ave.,Springfield,7081,,Springfield Public School District,No,(n/a),No,Yes,(973) 376-1025,48,396 (62.9 %),88 (14.0 %),100 (15.9 %),36 (5.7 %),1 (0.2 %),5 (0.8 %),4 (0.6 %)
143,Palisades Park Junior-Senior High School,8-12,529,9.9,35.00%,49.8,226,83,Public,Veterans Plaza,Palisades Park,7650,,Palisades Park School District,No,(n/a),No,Yes,(201) 941-1100,53,83 (15.7 %),19 (3.6 %),185 (35.0 %),238 (45.0 %),0 (0.0 %),2 (0.4 %),2 (0.4 %)
144,Manasquan High School,9-12,"1,012",14.8,15.70%,49.7,122,-22,Public,167 Broad Street,Manasquan,8736,,Manasquan School District,No,(n/a),No,Yes,(732) 528-8820,68,880 (87.0 %),28 (2.8 %),88 (8.7 %),15 (1.5 %),0 (0.0 %),1 (0.1 %),0 (0.0 %)
145,Kingsway Regional High School,9-12,"1,668",13.2,13.00%,49.6,185,40,Public,201 Kings Highway,Woolwich Twp,8085,,Kingsway Regional School District,No,(n/a),No,Yes,(856) 467-3300,126,"1,245 (74.6 %)",231 (13.8 %),93 (5.6 %),67 (4.0 %),0 (0.0 %),1 (0.1 %),31 (1.9 %)
146,Hightstown High School,9-12,"1,503",12.3,35.70%,49.4,217,71,Public,25 Leshin Lane,Hightstown,8520,,East Windsor Regional School District,No,(n/a),No,No,(609) 443-7738,122,603 (40.1 %),179 (11.9 %),479 (31.9 %),233 (15.5 %),1 (0.1 %),0 (0.0 %),8 (0.5 %)
147,Shawnee High School,9-12,"1,597",12.8,6.80%,48.9,63,-84,Public,600 Tabernacle Road,Medford,8055,,Lenape Regional High School District,No,(n/a),No,No,(609) 654-7544,124,"1,469 (92.0 %)",32 (2.0 %),43 (2.7 %),50 (3.1 %),2 (0.1 %),0 (0.0 %),1 (0.1 %)
148,North Brunswick Township High School,9-12,"1,805",12.7,39.60%,48.7,255,107,Public,98 Raider Road,North Brunswick,8902,,North Brunswick Township School District,No,(n/a),No,Yes,(732) 289-3702,142,433 (24.0 %),387 (21.4 %),543 (30.1 %),432 (23.9 %),0 (0.0 %),2 (0.1 %),8 (0.4 %)
149,Elizabeth High School,9-12,840,16.1,71.60%,48.6,26,-123,Public,40 Morrell Street,Elizabeth,7201,,Elizabeth Public Schools,No,(n/a),No,Yes,(908) 436-5860,52,120 (14.3 %),87 (10.4 %),597 (71.1 %),36 (4.3 %),0 (0.0 %),0 (0.0 %),0 (0.0 %)
150,Hawthorne High School,9-12,659,12.6,5.80%,48,282,132,Public,160 Parmelee Avenue,Hawthorne,7506,,Hawthorne Public School District,No,(n/a),No,No,(973) 423-6415,52,468 (71.0 %),18 (2.7 %),163 (24.7 %),10 (1.5 %),0 (0.0 %),0 (0.0 %),0 (0.0 %)
151,Passaic County Technical Institute,9-12,"3,355",11.2,50.30%,47.9,148,-3,Public,45 Reinhardt Road,Wayne,7470,,Passsaic County Vocational School District,No,(n/a),No,Yes,(973) 790-6000,298,426 (12.7 %),524 (15.6 %),"2,068 (61.6 %)",296 (8.8 %),0 (0.0 %),0 (0.0 %),41 (1.2 %)
152,James Caldwell High School,9-12,804,11.1,5.70%,47.6,98,-54,Public,265 Westville Ave,West Caldwell,7006,,Caldwell-West Caldwell School District,No,(n/a),No,No,(973) 228-6981,72,676 (84.1 %),14 (1.7 %),67 (8.3 %),45 (5.6 %),0 (0.0 %),1 (0.1 %),1 (0.1 %)
153,Ridgefield Memorial High School,9-12,548,10.1,25.20%,47.6,147,-6,Public,555 Walnut St,Ridgefield,7657,,Ridgefield School District,No,(n/a),No,Yes,(201) 945-4455,54,211 (38.5 %),24 (4.4 %),154 (28.1 %),157 (28.6 %),1 (0.2 %),0 (0.0 %),1 (0.2 %)
154,Watchung Hills Regional High School,9-12,"2,205",12.8,2.30%,47.1,65,-89,Public,108 Stirling Rd,Warren,7059,,Watchung Hills Regional High School District,No,(n/a),No,Yes,(908) 647-4800,171,"1,589 (72.1 %)",56 (2.5 %),173 (7.8 %),352 (16.0 %),3 (0.1 %),2 (0.1 %),30 (1.4 %)
155,North Warren Regional School,7-12,911,10.4,10.40%,46.9,162,7,Public,10 Noe Rd,Blairstown,7825,,North Warren Regional School District,No,(n/a),No,Yes,(908) 362-8211,87,840 (92.2 %),12 (1.3 %),38 (4.2 %),11 (1.2 %),2 (0.2 %),1 (0.1 %),7 (0.8 %)
156,Collingswood High School,9-12,718,11.2,46.80%,46.7,301,145,Public,424 Collings Ave,Collingswood,8108,,Collingswood Public School District,No,(n/a),No,Yes,(856) 962-5701,64,377 (52.5 %),145 (20.2 %),134 (18.7 %),37 (5.2 %),4 (0.6 %),0 (0.0 %),21 (2.9 %)
157,Southern Regional High School,9-12,"2,064",13.8,23.30%,46.3,123,-34,Public,90 Cedar Bridge Road,Manahawkin,8050,,Southern Regional School District,No,(n/a),No,Yes,(609) 597-9481,149,"1,890 (91.6 %)",45 (2.2 %),100 (4.8 %),22 (1.1 %),1 (0.0 %),3 (0.1 %),3 (0.1 %)
158,Freehold Township High School,9-12,"2,111",15.1,9.80%,46.3,91,-67,Public,281 Elton Adelphia Road,Freehold,7728,,Freehold Regional High School District,No,(n/a),No,Yes,(732) 431-8460,139,"1,627 (77.1 %)",121 (5.7 %),192 (9.1 %),159 (7.5 %),2 (0.1 %),6 (0.3 %),4 (0.2 %)
159,North Arlington High School,9-12,480,10.6,20.60%,46.3,130,-29,Public,222 Ridge Road,North Arlington,7031,,North Arlington School District,No,(n/a),No,No,(201) 991-6800,45,310 (64.6 %),7 (1.5 %),146 (30.4 %),15 (3.1 %),0 (0.0 %),0 (0.0 %),2 (0.4 %)
160,West Essex High School,9-12,"1,070",11.6,3.60%,46,50,-110,Public,65 West Greenbrook Rd,North Caldwell,7006,,West Essex Regional School District,No,(n/a),No,Yes,(973) 228-1200,92,924 (86.4 %),11 (1.0 %),71 (6.6 %),50 (4.7 %),0 (0.0 %),1 (0.1 %),13 (1.2 %)
161,Sussex County Technical School,9-12,748,11.8,15.60%,45.8,227,66,Public,105 North Church Road,Sparta,7871,,Sussex County Technical School District,No,(n/a),No,Yes,(973) 383-6700,63,667 (89.2 %),15 (2.0 %),46 (6.1 %),14 (1.9 %),6 (0.8 %),0 (0.0 %),0 (0.0 %)
162,Audubon Junior/Senior High School,7-12,879,11.8,28.10%,45.7,218,56,Public,350 Edgewood Avenue,Audubon,8106,,Audubon Public School Disrict,No,(n/a),No,Yes,(856) 547-7695,74,757 (86.1 %),48 (5.5 %),51 (5.8 %),15 (1.7 %),0 (0.0 %),1 (0.1 %),7 (0.8 %)
163,Hamilton North-Nottingham,9-12,"1,360",13.8,53.10%,45.4,319,156,Public,1055 Klockner Road,Hamilton,8619,,Hamilton Township Public School District,No,(n/a),No,Yes,(609) 631-4161,98,454 (33.4 %),452 (33.2 %),369 (27.1 %),48 (3.5 %),0 (0.0 %),3 (0.2 %),34 (2.5 %)
164,Butler High School,9-12,475,10.3,18.70%,45.1,274,110,Public,38 Bartholdi Avenue,Butler,7405,,Butler Public School District,No,(n/a),No,Yes,(973) 492-2000,46,405 (85.3 %),8 (1.7 %),51 (10.7 %),11 (2.3 %),0 (0.0 %),0 (0.0 %),0 (0.0 %)
165,Liberty High School,9-12,197,8.5,63.50%,44.9,205,40,Public,299 Sip Avenue,Jersey City,7306,,Jersey City School District,No,(n/a),No,Yes,(201) 714-4373,23,21 (10.7 %),65 (33.0 %),89 (45.2 %),22 (11.2 %),0 (0.0 %),0 (0.0 %),0 (0.0 %)
166,Spotswood High School,9-12,735,11.1,15.10%,44.8,126,-40,Public,105 Summerhill Road,Spotswood,8884,,Spotswood Public School District,No,(n/a),No,No,(732) 723-2200,66,596 (81.1 %),24 (3.3 %),78 (10.6 %),29 (3.9 %),0 (0.0 %),0 (0.0 %),8 (1.1 %)
167,Winslow Township High School,9-12,"1,318",11.3,50.00%,44.8,321,154,Public,10 Cooper Folly Road,Atco,8004,,Winslow Township School District,No,(n/a),No,Yes,(856) 767-1850,116,302 (22.9 %),833 (63.2 %),116 (8.8 %),49 (3.7 %),2 (0.2 %),0 (0.0 %),16 (1.2 %)
168,Sayreville War Memorial High School,9-12,"1,670",12.9,37.50%,44.7,246,78,Public,820 Washington Road,Parlin,8859,,Sayreville School District,No,(n/a),No,No,(732) 525-5252,129,808 (48.4 %),286 (17.1 %),307 (18.4 %),248 (14.9 %),1 (0.1 %),5 (0.3 %),15 (0.9 %)
169,Piscataway Township High School,9-12,"2,170",13.1,34.20%,44.6,191,22,Public,100 Behmer Road,Piscataway,8854,,Piscataway Township School District,No,(n/a),No,Yes,(732) 981-0700,165,408 (18.8 %),817 (37.6 %),357 (16.5 %),570 (26.3 %),0 (0.0 %),2 (0.1 %),16 (0.7 %)
