rank,school,grades,students,student/teacher ratio,free lunch recipients,average standard score,rank (2012),rank change from 2012,school type,address,city,zip,county,district,charter,magnet,virtual,title i,phone,full time teachers,white,black,hispanic,asian,american indian,pacific islander,two or more races
84,James Caldwell High School,9-12,781,9.8,2.30%,75.7,126,42.00,Public,265 Westville Ave,West Caldwell,07006,Essex,Caldwell-West Caldwell School District,No,(n/a),No,No,(973) 228-6981,79,668 (85.5 %),20 (2.6 %),53 (6.8 %),39 (5.0 %),0 (0.0 %),1 (0.1 %),0 (0.0 %)
85,Hopewell Valley Central High School,9-12,"1,216",12.1,2.40%,75.7,66,-19,Public,259 Pennington Titusville Rd,Pennington,08534,Mercer,Hopewell Valley Regional School District,No,(n/a),No,No,(609) 737-4003,100,"1,039 (85.4 %)",29 (2.4 %),48 (3.9 %),95 (7.8 %),1 (0.1 %),0 (0.0 %),4 (0.3 %)
86,Moorestown High School,9-12,"1,380",12.3,8.00%,75.5,58,-28,Public,350 Bridgeboro Road,Moorestown,08057,Burlington,Moorestown Township Public School District,No,(n/a),No,No,(856) 778-6610,112,"1,094 (79.3 %)",96 (7.0 %),61 (4.4 %),119 (8.6 %),3 (0.2 %),3 (0.2 %),4 (0.3 %)
87,Cresskill High School,9-12,548,,2.70%,75.4,33,-54,Public,1 Lincoln Dr,Cresskill,07626,Bergen,Cresskill Public School District,No,(n/a),No,No,(201) 227-7791,,320 (58.4 %),3 (0.5 %),44 (8.0 %),180 (32.8 %),0 (0.0 %),0 (0.0 %),1 (0.2 %)
88,Freehold Township High School,9-12,"2,139",15.1,11.10%,75.2,85,-3,Public,281 Elton Adelphia Road,Freehold,07728,Monmouth,Freehold Regional High School District,No,(n/a),No,Yes,(732) 431-8460,141,"1,701 (79.5 %)",128 (6.0 %),173 (8.1 %),125 (5.8 %),0 (0.0 %),8 (0.4 %),4 (0.2 %)
89,West Caldwell Technical,9-12,226,6.7,81.40%,75.1,308,219.00,Public,620 Passaic Ave,West Caldwell,07006,Essex,Essex County Vocational Technical School District,No,(n/a),No,Yes,(973) 412-2205,34,11 (4.9 %),72 (31.9 %),139 (61.5 %),2 (0.9 %),1 (0.4 %),0 (0.0 %),1 (0.4 %)
90,Shawnee High School,9-12,"1,610",13.3,7.00%,74.8,77,-13,Public,600 Tabernacle Road,Medford,08055,Burlington,Lenape Regional High School District,No,(n/a),No,No,(609) 654-7544,120,"1,514 (94.0 %)",28 (1.7 %),26 (1.6 %),39 (2.4 %),2 (0.1 %),0 (0.0 %),1 (0.1 %)
91,Hillsborough High School,9-12,"2,360",12.4,6.40%,74.6,73,-18,Public,466 Raider Boulevard,Hillsborough,08844,Somerset,Hillsborough Township Public School District,No,(n/a),No,No,(908) 431-6600,190,"1,789 (75.8 %)",114 (4.8 %),141 (6.0 %),312 (13.2 %),0 (0.0 %),3 (0.1 %),1 (0.0 %)
92,Westwood Junionr/Senior High School,8-12,966,10.9,7.50%,74.5,117,25.00,Public,701 Ridgewood Road,Township Of Washington,07676,Bergen,Westwood Regional School District,No,(n/a),No,No,(201) 664-0880,88,764 (79.1 %),39 (4.0 %),90 (9.3 %),65 (6.7 %),0 (0.0 %),0 (0.0 %),8 (0.8 %)
93,Montville Township High School,9-12,"1,348",11.9,2.60%,74,114,21.00,Public,100 Horseneck Road,Montville,07045,Morris,Montville Township School District,No,(n/a),No,No,(973) 331-7100,113,971 (72.0 %),27 (2.0 %),50 (3.7 %),293 (21.7 %),4 (0.3 %),1 (0.1 %),2 (0.1 %)
94,Morris Knolls High School,9-12,"1,644",11.7,6.70%,73.9,93,-1,Public,50 Knoll Drive,Denville,07834,Morris,Morris Hills Regional School District,No,(n/a),No,No,(973) 664-2201,140,"1,325 (80.6 %)",53 (3.2 %),134 (8.2 %),113 (6.9 %),2 (0.1 %),4 (0.2 %),13 (0.8 %)
95,Bernards High School,9-12,785,12.9,7.90%,73.8,63,-32,Public,25 Olcott Avenue,Bernardsville,07924,Somerset,Somerset Hills Regional School District,No,(n/a),No,Yes,(908) 630-3000,61,615 (78.3 %),22 (2.8 %),93 (11.8 %),54 (6.9 %),0 (0.0 %),0 (0.0 %),1 (0.1 %)
96,Seneca High School,9-12,"1,229",10.9,11.80%,73.7,147,51.00,Public,110 Carranza Road,Tabernacle,08088,Burlington,Lenape Regional High School District,No,(n/a),No,Yes,(609) 268-4600,113,"1,142 (92.9 %)",31 (2.5 %),32 (2.6 %),17 (1.4 %),4 (0.3 %),3 (0.2 %),0 (0.0 %)
97,Belvidere High School,9-12,483,11.2,13.00%,73.7,150,53.00,Public,809 Oxford Street,Belvidere,07823,Warren,Belvidere School District,No,(n/a),No,Yes,(908) 475-4025,43,448 (92.8 %),8 (1.7 %),17 (3.5 %),5 (1.0 %),1 (0.2 %),1 (0.2 %),3 (0.6 %)
98,Fair Lawn High School,9-12,"1,561",14.1,5.50%,73.6,79,-19,Public,14 00 Berdan Avenue,Fair Lawn,07410,Bergen,Fair Lawn Public School District,No,(n/a),No,No,(201) 794-5455,111,"1,071 (68.6 %)",49 (3.1 %),235 (15.1 %),202 (12.9 %),1 (0.1 %),3 (0.2 %),0 (0.0 %)
99,Lakeland Regional High School,9-12,"1,078",12,15.70%,73.5,119,20.00,Public,205 Conklintown Road,Wanaque,07465,Passaic,Lakeland Regional High School District,No,(n/a),No,Yes,(973) 835-1900,89,925 (85.8 %),22 (2.0 %),80 (7.4 %),39 (3.6 %),10 (0.9 %),0 (0.0 %),2 (0.2 %)
100,Pascack Valley High School,9-12,"1,260",13.3,1.50%,73.3,82,-18,Public,200 Piermont Ave,Hillsdale,07642,Bergen,Pascack Valley Regional High School District,No,(n/a),No,Yes,(201) 358-7060,94,"1,091 (86.6 %)",14 (1.1 %),61 (4.8 %),92 (7.3 %),1 (0.1 %),0 (0.0 %),1 (0.1 %)
101,Wayne Valley High School,9-12,"1,468",11.2,9.10%,73.3,108,7.00,Public,551 Valley Road,Wayne,07470,Passaic,Wayne Township Public School District,No,(n/a),No,Yes,(973) 317-2200,131,"1,207 (82.2 %)",22 (1.5 %),124 (8.4 %),106 (7.2 %),0 (0.0 %),8 (0.5 %),1 (0.1 %)
102,Pompton Lakes High School,9-12,620,12.1,14.50%,73,154,52.00,Public,44 Lakeside Avenue,Pompton Lakes,07442,Passaic,Pompton Lakes School District,No,(n/a),No,No,(973) 835-7100,51,498 (80.3 %),5 (0.8 %),82 (13.2 %),30 (4.8 %),0 (0.0 %),5 (0.8 %),0 (0.0 %)
103,John P. Stevens High School,9-12,"2,140",14.3,13.00%,72.9,60,-43,Public,855 Grove Avenue,Edison,08820,Middlesex,Edison Township School District,No,(n/a),No,No,(732) 452-2800,149,434 (20.3 %),165 (7.7 %),70 (3.3 %),"1,462 (68.3 %)",0 (0.0 %),5 (0.2 %),4 (0.2 %)
104,Wayne Hills High School,9-12,"1,385",11.1,7.90%,72.6,64,-40,Public,272 Berdan Avenue,Wayne,07470,Passaic,Wayne Township Public School District,No,(n/a),No,No,(973) 317-2000,124,"1,120 (80.9 %)",27 (1.9 %),88 (6.4 %),143 (10.3 %),0 (0.0 %),6 (0.4 %),1 (0.1 %)
105,Midland Park Junior/Senior High School,7-12,503,11.3,0.60%,72.6,210,105.00,Public,250 Prospect St,Midland Park,07432,Bergen,Midland Park School District,No,(n/a),No,Yes,(201) 444-7400,44,431 (85.7 %),6 (1.2 %),40 (8.0 %),25 (5.0 %),0 (0.0 %),1 (0.2 %),0 (0.0 %)
106,Watchung Hills Regional High School,9-12,"2,149",12.6,3.10%,72.6,76,-30,Public,108 Stirling Rd,Warren,07059,Somerset,Watchung Hills Regional High School District,No,(n/a),No,Yes,(908) 647-4800,169,"1,606 (74.7 %)",45 (2.1 %),150 (7.0 %),317 (14.8 %),1 (0.0 %),2 (0.1 %),28 (1.3 %)
107,Colts Neck High School,9-12,"1,477",14.1,8.30%,72.5,118,11.00,Public,59 Five Points Road,Colts Neck,07722,Monmouth,Freehold Regional High School District,No,(n/a),No,No,(732) 761-0190,104,"1,216 (82.3 %)",34 (2.3 %),104 (7.0 %),122 (8.3 %),0 (0.0 %),0 (0.0 %),1 (0.1 %)
108,Wall High School,9-12,"1,240",11.4,12.10%,72.4,173,65.00,Public,1630 18th Ave,Wall,07719,Monmouth,Wall Township Public School District,No,(n/a),No,No,(732) 556-2040,108,"1,127 (90.9 %)",23 (1.9 %),54 (4.4 %),17 (1.4 %),0 (0.0 %),0 (0.0 %),19 (1.5 %)
109,Point Pleasant Borough High School,9-12,980,11.7,8.50%,72.2,163,54.00,Public,Laura Herbert Dr,Point Pleasant Beach,08742,Ocean,Point Pleasant Borough School District,No,(n/a),No,No,(732) 701-1900,84,916 (93.5 %),9 (0.9 %),42 (4.3 %),7 (0.7 %),1 (0.1 %),3 (0.3 %),2 (0.2 %)
110,Kittatinny Regional High School,7-12,"1,103",12,9.70%,72.1,145,35.00,Public,77 Halsey Road,Newton,07860,Sussex,Kittatinny Regional School District,No,(n/a),No,Yes,(973) 383-1800,92,"1,049 (95.1 %)",9 (0.8 %),30 (2.7 %),11 (1.0 %),0 (0.0 %),3 (0.3 %),1 (0.1 %)
111,North Warren Regional School,7-12,993,11.1,11.20%,71.9,188,77.00,Public,10 Noe Rd,Blairstown,07825,Warren,North Warren Regional School District,No,(n/a),No,Yes,(908) 362-8211,89,915 (92.1 %),8 (0.8 %),42 (4.2 %),15 (1.5 %),6 (0.6 %),1 (0.1 %),6 (0.6 %)
112,Whippany Park High School,9-12,691,12.7,1.90%,71.9,78,-34,Public,165 Whippany Road,Whippany,07981,Morris,Hanover Park Regional High School District,No,(n/a),No,No,(973) 887-3004,54,586 (84.8 %),11 (1.6 %),24 (3.5 %),69 (10.0 %),0 (0.0 %),0 (0.0 %),1 (0.1 %)
113,Hanover Park High School,9-12,894,11.8,3.50%,71.9,130,17.00,Public,63 Mt Pleasant Avenue,East Hanover,07936,Morris,Hanover Park Regional High School District,No,(n/a),No,Yes,(973) 887-0300,75,757 (84.7 %),27 (3.0 %),37 (4.1 %),71 (7.9 %),0 (0.0 %),2 (0.2 %),0 (0.0 %)
114,Dumont High School,9-12,856,14.6,11.30%,71.9,129,15.00,Public,101 New Milford Ave,Dumont,07628,Bergen,Dumont Public School District,No,(n/a),No,No,(201) 387-3000,59,539 (63.0 %),18 (2.1 %),165 (19.3 %),103 (12.0 %),3 (0.4 %),28 (3.3 %),0 (0.0 %)
115,Hasbrouck Heights High School,9-12,553,13.6,15.20%,71.7,100,-15,Public,365 Boulevard,Hasbrouck Heights,07604,Bergen,Hasbrouck Heights School District,No,(n/a),No,No,(201) 288-6150,40,326 (59.0 %),17 (3.1 %),116 (21.0 %),93 (16.8 %),0 (0.0 %),0 (0.0 %),1 (0.2 %)
116,Cherry Hill High School West,9-12,"1,537",13.6,22.90%,71.7,156,40.00,Public,2101 Chapel Ave,Cherry Hill,08034,Camden,Cherry Hill School District,No,(n/a),No,Yes,(856) 663-8006,113,956 (62.2 %),177 (11.5 %),183 (11.9 %),194 (12.6 %),0 (0.0 %),2 (0.1 %),25 (1.6 %)
117,Eastern Regional High School,9-12,"2,080",12.6,10.90%,71.7,96,-21,Public,1401 Laurel Oak Road,Voorhees,08043,Camden,Eastern Camden County Regional School District,No,(n/a),No,Yes,(856) 784-4441,165,"1,406 (67.6 %)",198 (9.5 %),120 (5.8 %),278 (13.4 %),2 (0.1 %),1 (0.0 %),75 (3.6 %)
118,Arthur L. Johnson High School,9-12,860,12.3,6.60%,71.6,92,-26,Public,365 Westfield Avenue,Clark,07066,Union,Clark Township Public Schools,No,(n/a),No,No,(732) 382-0910,70,770 (89.5 %),6 (0.7 %),64 (7.4 %),17 (2.0 %),0 (0.0 %),2 (0.2 %),1 (0.1 %)
119,Ocean Township High School,9-12,"1,238",10.8,17.00%,71.4,175,56.00,Public,550 West Park Avenue,Oakhurst,07755,Monmouth,Township of Ocean School District,No,(n/a),No,No,(732) 531-5650,114,879 (71.0 %),125 (10.1 %),135 (10.9 %),94 (7.6 %),0 (0.0 %),4 (0.3 %),1 (0.1 %)
120,Clearview Regional High School,9-12,"1,567",14.1,10.20%,71.4,95,-25,Public,625 Breakneck Rd,Mullica Hill,08062,Gloucester,Clearview Regional High School District,No,(n/a),No,Yes,(856) 223-2790,111,"1,405 (89.7 %)",56 (3.6 %),46 (2.9 %),47 (3.0 %),4 (0.3 %),1 (0.1 %),8 (0.5 %)
121,John F. Kennedy High School,9-12,"1,408",12.4,33.60%,71.4,133,12.00,Public,200 Washington Avenue,Iselin,08830,Middlesex,Woodbridge Township School District,No,(n/a),No,No,(732) 602-8650,114,457 (32.5 %),159 (11.3 %),311 (22.1 %),477 (33.9 %),1 (0.1 %),1 (0.1 %),2 (0.1 %)
122,Scotch Plains-Fanwood High School,9-12,"1,534",14.2,7.40%,70.7,88,-34,Public,667 Westfield Road,Scotch Plains,07076,Union,Scotch Plains-Fanwood School District,No,(n/a),No,No,(908) 889-8600,108,"1,142 (74.4 %)",185 (12.1 %),101 (6.6 %),83 (5.4 %),2 (0.1 %),3 (0.2 %),18 (1.2 %)
123,Paramus High School,9-12,"1,292",12.1,5.00%,70.7,127,4.00,Public,99 East Century Rd,Paramus,07652,Bergen,Paramus Public School District,No,(n/a),No,Yes,(201) 261-7800,107,810 (62.7 %),19 (1.5 %),93 (7.2 %),367 (28.4 %),1 (0.1 %),0 (0.0 %),2 (0.2 %)
124,River Dell Regional High School,9-12,"1,080",12.2,1.90%,70.5,89,-35,Public,55 Pyle Street,Oradell,07649,Bergen,River Dell Regional School District,No,(n/a),No,No,(201) 599-7240,88,779 (72.1 %),15 (1.4 %),59 (5.5 %),223 (20.6 %),0 (0.0 %),1 (0.1 %),3 (0.3 %)
125,Rutherford High School,9-12,778,11.4,2.20%,70.3,105,-20,Public,56 Elliott Pl,Rutherford,07070,Bergen,Rutherford School District,No,(n/a),No,No,(201) 438-7675,68,463 (59.5 %),25 (3.2 %),136 (17.5 %),149 (19.2 %),1 (0.1 %),1 (0.1 %),3 (0.4 %)
126,Waldwick High School,9-12,461,10.9,1.30%,70.3,111,-15,Public,155 Wyckoff Avenue,Waldwick,07463,Bergen,Waldwick School District,No,(n/a),No,No,(201) 652-9000,42,385 (83.5 %),5 (1.1 %),48 (10.4 %),23 (5.0 %),0 (0.0 %),0 (0.0 %),0 (0.0 %)
127,Washington Township High School,9-12,"2,520",12.8,16.40%,70.3,99,-28,Public,519 Hurffville Crosskeys Rd,Sewell,08080,Gloucester,Washington Township School District,No,(n/a),No,No,(856) 589-8500,196,"2,085 (82.7 %)",207 (8.2 %),75 (3.0 %),127 (5.0 %),1 (0.0 %),1 (0.0 %),24 (1.0 %)
128,West Deptford High School,9-12,884,13.7,25.60%,70.2,151,23.00,Public,1600 Old Crown Point Rd,West Deptford,08093,Gloucester,West Deptford Township School District,No,(n/a),No,No,(856) 848-6110,64,728 (82.4 %),73 (8.3 %),38 (4.3 %),14 (1.6 %),0 (0.0 %),0 (0.0 %),31 (3.5 %)
129,Lenape High School,9-12,"1,964",12.5,14.60%,70.1,139,10.00,Public,235 Hartford Road,Medford,08055,Burlington,Lenape Regional High School District,No,(n/a),No,Yes,(609) 654-5111,157,"1,384 (70.5 %)",316 (16.1 %),91 (4.6 %),154 (7.8 %),14 (0.7 %),5 (0.3 %),0 (0.0 %)
130,Park Ridge High School,7-12,618,11.6,4.10%,70,98,-32,Public,2 Park Ave,Park Ridge,07656,Bergen,Park Ridge School District,No,(n/a),No,Yes,(201) 573-6000,53,507 (82.0 %),12 (1.9 %),49 (7.9 %),48 (7.8 %),0 (0.0 %),0 (0.0 %),2 (0.3 %)
131,Somerville High School,9-12,"1,229",13.6,14.60%,70,120,-11,Public,222 Davenport St,Somerville,08876,Somerset,Somerville Public School District,No,(n/a),No,No,(908) 218-4108,90,831 (67.6 %),114 (9.3 %),177 (14.4 %),93 (7.6 %),0 (0.0 %),5 (0.4 %),9 (0.7 %)
132,Allentown High School,9-12,"1,233",21.2,6.60%,70,182,50.00,Public,27 High Street,Allentown,08501,Monmouth,Upper Freehold Regional School District,No,(n/a),No,Yes,(609) 259-7292,58,"1,061 (86.1 %)",71 (5.8 %),38 (3.1 %),49 (4.0 %),2 (0.2 %),0 (0.0 %),12 (1.0 %)
133,Manasquan High School,9-12,961,13.6,11.90%,69.9,144,11.00,Public,167 Broad Street,Manasquan,08736,Monmouth,Manasquan School District,No,(n/a),No,Yes,(732) 528-8820,71,834 (86.8 %),28 (2.9 %),85 (8.8 %),11 (1.1 %),1 (0.1 %),2 (0.2 %),0 (0.0 %)
134,Cinnaminson High School,9-12,712,11.1,8.70%,69.9,187,53.00,Public,1197 Riverton Road,Cinnaminson,08077,Burlington,Cinnaminson Township Public Schools,No,(n/a),No,Yes,(856) 829-7770,64,584 (82.0 %),56 (7.9 %),34 (4.8 %),24 (3.4 %),1 (0.1 %),2 (0.3 %),11 (1.5 %)
135,South Brunswick High School,9-12,"2,851",15,10.70%,69.7,123,-12,Public,750 Ridge Road,Monmouth Junction,08852,Middlesex,South Brunswick School District,No,(n/a),No,No,(732) 329-4044,189,"1,230 (43.1 %)",266 (9.3 %),152 (5.3 %),"1,171 (41.1 %)",1 (0.0 %),0 (0.0 %),31 (1.1 %)
136,Middle Township High School,9-12,862,11.7,36.80%,69.6,217,81.00,Public,300 East Atlantic Avenue,Cape May Court House,08210,Cape May,Middle Township Public School District,No,(n/a),No,Yes,(609) 465-1852,73,648 (75.2 %),149 (17.3 %),42 (4.9 %),15 (1.7 %),1 (0.1 %),0 (0.0 %),7 (0.8 %)
137,Parsippany Hills High School,9-12,"1,095",11.3,11.70%,69.6,140,3.00,Public,20 Rita Drive,Morris Plains,07950,Morris,Parsippany-Troy Hills Township School District,No,(n/a),No,No,(973) 682-2815,97,590 (53.9 %),35 (3.2 %),116 (10.6 %),345 (31.5 %),1 (0.1 %),0 (0.0 %),8 (0.7 %)
138,Roxbury High School,9-12,"1,482",12.1,9.20%,69.4,168,30.00,Public,One Bryant Drive,Succasunna,07876,Morris,Roxbury Township School District,No,(n/a),No,No,(973) 584-1200,122,"1,195 (80.6 %)",52 (3.5 %),149 (10.1 %),77 (5.2 %),1 (0.1 %),2 (0.1 %),6 (0.4 %)
139,Warren Hills Regional High School,9-12,"1,246",13.3,17.10%,69.2,218,79.00,Public,41 Jackson Valley Road,Washington,07882,Warren,Warren Hills Regional School District,No,(n/a),No,Yes,(908) 689-3050,93,"1,032 (82.8 %)",70 (5.6 %),91 (7.3 %),38 (3.0 %),6 (0.5 %),1 (0.1 %),8 (0.6 %)
140,Middletown High School South,9-12,"1,400",14.1,5.90%,69.1,103,-37,Public,900 Nut Swamp Road,Middletown,07748,Monmouth,Middletown Township Public School District,No,(n/a),No,No,(732) 706-6111,99,"1,282 (91.6 %)",20 (1.4 %),57 (4.1 %),37 (2.6 %),1 (0.1 %),3 (0.2 %),0 (0.0 %)
141,Matawan Regional High School,9-12,"1,067",13.4,25.00%,68.9,202,61.00,Public,450 Atlantic Avenue,Aberdeen,07747,Monmouth,Matawan-Aberdeen Regional School District,No,(n/a),No,No,(732) 705-5200,79,732 (68.6 %),164 (15.4 %),108 (10.1 %),59 (5.5 %),0 (0.0 %),0 (0.0 %),4 (0.4 %)
142,Newark Technical,9-12,748,13.5,86.80%,68.8,215,73.00,Public,91 West Market Street,Newark,07103,Essex,Essex County Vocational Technical School District,No,(n/a),No,Yes,(973) 412-2204,55,4 (0.5 %),450 (60.2 %),256 (34.2 %),5 (0.7 %),6 (0.8 %),2 (0.3 %),25 (3.3 %)
143,Cherokee High School,9-12,"2,261",12.2,10.70%,68.7,146,3.00,Public,120 Tomlinson Mill Road,Marlton,08053,Burlington,Lenape Regional High School District,No,(n/a),No,Yes,(856) 983-5140,185,"1,910 (84.5 %)",153 (6.8 %),60 (2.7 %),133 (5.9 %),0 (0.0 %),5 (0.2 %),0 (0.0 %)
144,Emerson Junior Senior High,7-12,566,11.5,7.20%,68.5,137,-7,Public,131 Main Street,Emerson,07630,Bergen,Emerson Public School District,No,(n/a),No,Yes,(201) 262-4447,49,452 (79.9 %),8 (1.4 %),56 (9.9 %),44 (7.8 %),0 (0.0 %),0 (0.0 %),6 (1.1 %)
145,Columbia High School,9-12,"1,856",11.9,26.20%,68.5,195,50.00,Public,17 Parker Ave,Maplewood,07040,Essex,South Orange-Maplewood School District,No,(n/a),No,No,(973) 762-5600,155,704 (37.9 %),965 (52.0 %),97 (5.2 %),71 (3.8 %),4 (0.2 %),4 (0.2 %),11 (0.6 %)
146,Lenape Valley Regional High School,9-12,778,12.2,12.20%,68.5,159,13.00,Public,28 Sparta Road,Stanhope,07874,Sussex,Lenape Valley Regional High School District,No,(n/a),No,Yes,(973) 347-7600,63,665 (85.5 %),17 (2.2 %),61 (7.8 %),28 (3.6 %),5 (0.6 %),2 (0.3 %),0 (0.0 %)
147,Warren County Vocational Technical School,9-12,466,10.3,30.70%,68.2,220,73.00,Public,1500 Route 57,Washington,07882,Warren,Warren County Technical School District,No,(n/a),No,Yes,(908) 689-0122,45,402 (86.3 %),11 (2.4 %),49 (10.5 %),4 (0.9 %),0 (0.0 %),0 (0.0 %),0 (0.0 %)
148,Edison High School,9-12,"1,956",12.7,26.70%,68,200,52.00,Public,50 Boulevard Of The Eagles,Edison,08817,Middlesex,Edison Township School District,No,(n/a),No,Yes,(732) 650-5200,154,719 (36.8 %),289 (14.8 %),326 (16.7 %),611 (31.2 %),4 (0.2 %),2 (0.1 %),5 (0.3 %)
149,East Brunswick High School,10-12,"2,202",13.4,11.20%,67.9,132,-17,Public,380 Cranbury Road,E Brunswick,08816,Middlesex,East Brunswick Township School District,No,(n/a),No,No,(732) 613-6904,164,"1,338 (60.8 %)",110 (5.0 %),136 (6.2 %),611 (27.7 %),0 (0.0 %),1 (0.0 %),6 (0.3 %)
150,Middletown High School North,9-12,"1,504",12.3,17.40%,67.8,113,-37,Public,63 Tindall Road,Middletown,07748,Monmouth,Middletown Township Public School District,No,(n/a),No,Yes,(732) 706-6061,122,"1,314 (87.4 %)",38 (2.5 %),111 (7.4 %),22 (1.5 %),6 (0.4 %),7 (0.5 %),6 (0.4 %)
151,Freehold Borough High School,9-12,"1,581",14.7,22.20%,67.7,101,-50,Public,2 Robertsville Road,Freehold,07728,Monmouth,Freehold Regional High School District,No,(n/a),No,Yes,(732) 431-8360,107,982 (62.1 %),110 (7.0 %),300 (19.0 %),180 (11.4 %),2 (0.1 %),2 (0.1 %),5 (0.3 %)
152,Indian Hills High School,9-12,"1,225",11.8,1.30%,67.7,75,-77,Public,97 Yawpo Ave,Oakland,07436,Bergen,Ramapo Indian Hills Regional High School District,No,(n/a),No,Yes,(201) 337-0100,103,"1,110 (90.6 %)",16 (1.3 %),43 (3.5 %),46 (3.8 %),1 (0.1 %),2 (0.2 %),7 (0.6 %)
153,South Plainfield High School,9-12,"1,117",13,23.20%,67.7,196,43.00,Public,200 Lake Street,South Plainfield,07080,Middlesex,South Plainfield School District,No,(n/a),No,Yes,(908) 754-4620,86,605 (54.2 %),158 (14.1 %),230 (20.6 %),116 (10.4 %),2 (0.2 %),3 (0.3 %),3 (0.3 %)
154,North Arlington High School,9-12,486,10.8,17.70%,67.6,234,80.00,Public,222 Ridge Road,North Arlington,07031,Bergen,North Arlington School District,No,(n/a),No,No,(201) 991-6800,45,339 (69.8 %),3 (0.6 %),121 (24.9 %),21 (4.3 %),0 (0.0 %),0 (0.0 %),2 (0.4 %)
155,American History High School,7-12,336,9.8,90.80%,67.5,233,78.00,Public,74 Montgomery St,Newark,07103,Essex,Newark Public School District,No,(n/a),No,Yes,(973) 733-7333,34,11 (3.3 %),249 (74.1 %),72 (21.4 %),4 (1.2 %),0 (0.0 %),0 (0.0 %),0 (0.0 %)
156,Northern Burlington County Regional High School,9-12,"1,266",13.3,11.70%,67.1,199,43.00,Public,160 Mansfield Road East,Columbus,08022,Burlington,Northern Burlington County Regional School District,No,(n/a),No,Yes,(609) 298-3900,95,913 (72.1 %),170 (13.4 %),88 (7.0 %),73 (5.8 %),6 (0.5 %),4 (0.3 %),12 (0.9 %)
157,Salem County Career and Technical High School,9-12,631,15.2,21.10%,67,219,62.00,Public,880 Route 45,Woodstown,08098,Salem,Salem County Vocational Technical School District,No,(n/a),No,Yes,(856) 769-0101,42,524 (83.0 %),49 (7.8 %),29 (4.6 %),6 (1.0 %),3 (0.5 %),0 (0.0 %),20 (3.2 %)
158,Delaware Valley Regional High School,9-12,962,13.9,5.50%,66.6,134,-24,Public,19 Senator Stout Rd,Frenchtown,08825,Hunterdon,Delaware Valley Regional High School District,No,(n/a),No,Yes,(908) 996-2131,69,896 (93.1 %),14 (1.5 %),36 (3.7 %),13 (1.4 %),1 (0.1 %),0 (0.0 %),2 (0.2 %)
159,Dover High School,9-12,824,11.1,62.30%,66.4,112,-47,Public,100 Grace Street,Dover,07801,Morris,Dover Public School District,No,(n/a),No,Yes,(973) 989-2010,74,139 (16.9 %),62 (7.5 %),605 (73.4 %),18 (2.2 %),0 (0.0 %),0 (0.0 %),0 (0.0 %)
160,Roselle Park High School,9-12,596,10.6,41.30%,66.3,138,-22,Public,185 W Webster Ave,Roselle Park,07204,Union,Roselle Park Board Of Education,No,(n/a),No,Yes,(908) 241-4550,56,259 (43.5 %),57 (9.6 %),236 (39.6 %),41 (6.9 %),0 (0.0 %),3 (0.5 %),0 (0.0 %)
161,Timber Creek Regional High School,9-12,"1,424",15,27.00%,66.3,131,-30,Public,501 Jarvis Road,Erial,08081,Camden,Black Horse Pike Regional School District,No,(n/a),No,No,(856) 232-9703,95,806 (56.6 %),462 (32.4 %),77 (5.4 %),71 (5.0 %),7 (0.5 %),0 (0.0 %),1 (0.1 %)
162,Parsippany High School,9-12,999,11.3,14.00%,66.1,223,61.00,Public,309 Baldwin Rd,Parsippany,07054,Morris,Parsippany-Troy Hills Township School District,No,(n/a),No,Yes,(973) 263-7001,88,510 (51.1 %),52 (5.2 %),111 (11.1 %),313 (31.3 %),1 (0.1 %),2 (0.2 %),10 (1.0 %)
163,Highland Park High School,9-12,449,13.3,32.50%,66.1,281,118.00,Public,102 North Fifth Avenue,Highland Park,08904,Middlesex,Highland Park Boro School District,No,(n/a),No,Yes,(732) 572-2400,34,194 (43.2 %),54 (12.0 %),92 (20.5 %),93 (20.7 %),0 (0.0 %),1 (0.2 %),15 (3.3 %)
164,High Point Regional High School,9-12,"1,009",11.3,10.40%,66.1,125,-39,Public,299 Pidgeon Hill Road,Sussex,07461,Sussex,High Point Regional High School District,No,(n/a),No,Yes,(973) 875-3101,89,929 (92.1 %),21 (2.1 %),41 (4.1 %),15 (1.5 %),1 (0.1 %),1 (0.1 %),1 (0.1 %)
165,Middlesex High School,9-12,645,12.5,25.10%,65.8,90,-75,Public,300 John F. Kennedy Drive,Middlesex,08846,Middlesex,Middlesex Borough School District,No,(n/a),No,No,(732) 317-6000,51,398 (61.7 %),50 (7.8 %),161 (25.0 %),32 (5.0 %),0 (0.0 %),0 (0.0 %),4 (0.6 %)
166,Lyndhurst High School,9-12,675,11.2,20.60%,65.8,158,-8,Public,400 Weart Avenue,Lyndhurst,07071,Bergen,Lyndhurst School District,No,(n/a),No,No,(201) 896-2100,60,422 (62.5 %),22 (3.3 %),196 (29.0 %),27 (4.0 %),1 (0.1 %),1 (0.1 %),6 (0.9 %)
167,Jackson Liberty High School,9-12,"1,350",14.3,26.60%,65.3,176,9.00,Public,125 North Hope Chapel Road,Jackson,08527,Ocean,Jackson Township School District,No,(n/a),No,Yes,(732) 833-4700,94,"1,067 (79.0 %)",100 (7.4 %),130 (9.6 %),49 (3.6 %),0 (0.0 %),0 (0.0 %),4 (0.3 %)
